,mean_bandwith_task1,log bandwidth,mean_loss_task1,mean_loss_task2,mean_loss_task3,mean_loss_task4,mean_loss_task5,mean_loss_task6
1,0.01,-4.605170186,15.03161949,51.73983049,48.30485874,4.223867719,30.76501297,31.52200284
2,0.325263158,-1.123120708,1.481163639,2.79753432,3.796811967,1.106108471,3.32573687,3.57397293
3,0.640526316,-0.445465072,1.495185716,2.590228663,3.563956632,1.359609152,3.319897475,3.485255549
4,0.955789474,-0.045217606,1.548065078,2.580650363,3.522313497,1.553938688,3.335464376,3.450367551
5,1.271052632,0.239845401,1.62586502,2.614401831,3.512577462,1.673330519,3.352720283,3.436916947
6,1.586315789,0.461414214,1.717324979,2.664691345,3.513358034,1.766563441,3.369560666,3.431825477
7,1.901578947,0.642684566,1.813510238,2.720983241,3.517529784,1.85539732,3.386454589,3.431064572
8,2.216842105,0.796083708,1.909148199,2.777550294,3.522355108,1.943270567,3.404059515,3.432729183
9,2.532105263,0.929051077,2.001538129,2.831033716,3.527054339,2.029251378,3.422591209,3.43588817
10,2.847368421,1.046395207,2.089489211,2.879665605,3.531699288,2.112203683,3.441904925,3.44011439
11,3.162631579,1.151404459,2.172624568,2.92282833,3.536541722,2.191475083,3.461710287,3.445197241
12,3.477894737,1.24642715,2.250980569,2.960689014,3.541763584,2.266824613,3.481700609,3.451001474
13,3.793157895,1.33319889,2.324789239,2.993880304,3.547449465,2.338266263,3.501607566,3.457420054
14,4.108421053,1.413038783,2.394363679,3.023244843,3.553620314,2.405952455,3.521216795,3.464365879
15,4.423684211,1.486972881,2.4600392,3.04965478,3.560267506,2.470101958,3.540366276,3.471771435
16,4.738947368,1.555815037,2.522144144,3.07390278,3.567373658,2.530958426,3.558939107,3.479586812
17,5.054210526,1.620221663,2.58098638,3.096650226,3.57492149,2.588767633,3.576855943,3.487775929
18,5.369473684,1.680729893,2.636848021,3.118414526,3.582895356,2.643765626,3.594068725,3.496312587
19,5.684736842,1.737784836,2.689984356,3.139579141,3.591279572,2.696173077,3.610555704,3.505177298
20,6,1.791759469,2.740624857,3.160414126,3.600056212,2.746193123,3.626317278,3.514354988
